               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.025491,           0.0072911,                   0,             0.91137,             0.98291,             0.98128,             0.67846,            0.022539,           0.0045926,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.025258,           0.0072179,                   0,              0.9051,             0.97816,             0.96349,             0.68447,            0.022106,           0.0045574,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.024152,            0.006905,                   0,             0.89743,             0.97221,              0.9476,             0.67122,            0.022095,           0.0046554,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.025065,           0.0069671,                   0,             0.89783,             0.99145,             0.96893,             0.66783,            0.022101,            0.004568,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,            0.024817,           0.0071655,                   0,             0.90897,             0.98291,             0.96539,              0.6583,            0.021998,           0.0045773,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.025415,           0.0068099,                   0,             0.90667,             0.96581,             0.95613,             0.66314,            0.022128,           0.0045272,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.024425,           0.0068266,                   0,             0.91411,             0.97436,             0.96763,             0.67995,            0.021768,            0.004546,                   0,           0.0033175,           0.0033175,           0.0033175
                  56,            0.024519,           0.0070258,                   0,             0.90285,             0.96581,             0.96787,             0.69707,            0.021354,           0.0045304,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,            0.023321,           0.0068074,                   0,             0.88933,             0.96157,             0.95483,             0.66857,            0.022504,           0.0045141,                   0,             0.00307,             0.00307,             0.00307
                  58,             0.02349,           0.0066273,                   0,             0.91242,             0.97436,             0.97215,             0.68603,            0.021638,           0.0044632,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.023355,           0.0066197,                   0,             0.92766,              0.9864,             0.97646,             0.69302,            0.020963,           0.0044971,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.023285,           0.0071946,                   0,             0.90565,             0.96581,             0.97153,             0.69762,            0.021077,           0.0044722,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.023976,           0.0063705,                   0,             0.91916,             0.98291,             0.97781,             0.68102,            0.022195,           0.0044821,                   0,            0.002575,            0.002575,            0.002575
                  62,             0.02247,           0.0067301,                   0,             0.91958,             0.98291,             0.97469,             0.70299,            0.020332,           0.0044767,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.021951,           0.0061569,                   0,             0.93425,             0.97158,             0.97824,              0.6979,             0.02117,           0.0045072,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.022548,           0.0066668,                   0,             0.92406,             0.97436,              0.9754,             0.71205,            0.020359,           0.0044228,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,            0.022943,           0.0068683,                   0,             0.90335,             0.96581,             0.96118,             0.71125,            0.020814,           0.0043826,                   0,             0.00208,             0.00208,             0.00208
